CA(EØ) [°];CA(EL) [°];CA(ER) [°];CA(C) [°];CA(PØ) [°];CA(PL) [°];CA(PR) [°];CA(TØ) [°];CA(TL) [°];CA(TR) [°];Volumen [µl];Ø [mm];Área de la base [mm²];Superficie de la gota [mm²];SL Tilt [°];IFT [mN/m];Fase de la gota;Fase ambiente;Sustrato;?(d) [g/cm³];?(a) [g/cm³];?? [g/cm³];X [mm];Y [mm];Inclinación [°];T(a) [°C];T(d) [°C];T(s) [°C];Presión [bar];Humedad [% HR];Tamaño de referencia [mm];Referencia [px/mm]
21,46;20,74;22,17;21,14;20,52;19,58;21,45;21,42;20,89;21,95;2,03;3,680;10,636;11,868;0,25;91,24;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,46;20,76;22,16;21,15;20,38;19,33;21,43;21,42;20,89;21,95;2,06;3,680;10,636;11,883;0,25;186,35;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,45;20,76;22,14;21,14;20,58;19,63;21,53;21,42;20,93;21,91;2,06;3,680;10,636;11,887;0,25;235,80;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,45;20,75;22,15;21,14;20,33;19,27;21,39;21,43;20,91;21,95;2,06;3,680;10,636;11,888;0,25;146,56;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,43;20,71;22,16;21,13;20,30;19,30;21,30;21,38;20,84;21,93;2,10;3,690;10,694;11,960;0,25;5310,56;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,37;20,65;22,10;21,14;20,31;19,53;21,10;21,34;20,82;21,86;2,09;3,690;10,694;11,954;0,25;4245,44;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,46;20,75;22,16;21,13;20,54;19,67;21,41;21,42;20,89;21,95;2,06;3,690;10,694;11,941;0,25;241,22;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,40;20,73;22,08;21,14;20,23;19,33;21,13;21,36;20,90;21,82;2,05;3,680;10,636;11,875;0,25;140,86;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,37;20,69;22,04;21,13;20,32;19,49;21,14;21,33;20,89;21,78;2,06;3,685;10,665;11,906;0,25;110,33;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,37;20,67;22,07;21,13;20,46;19,44;21,49;21,35;20,87;21,83;2,06;3,685;10,665;11,912;0,25;148,06;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,37;20,67;22,07;21,13;20,29;19,15;21,43;21,36;20,83;21,88;2,09;3,690;10,694;11,960;0,25;1582,02;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,37;20,68;22,06;21,13;20,55;19,16;21,94;21,37;20,86;21,87;2,09;3,690;10,694;11,964;0,25;274,61;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,44;20,74;22,15;21,12;20,29;19,58;21,00;21,37;20,88;21,86;2,10;3,690;10,694;11,963;0,25;1497,50;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,41;20,69;22,12;21,11;20,01;19,29;20,73;21,34;20,82;21,85;2,07;3,685;10,665;11,925;0,25;258,58;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,38;20,66;22,09;21,12;20,01;19,09;20,92;21,31;20,74;21,87;2,07;3,685;10,665;11,925;0,25;246,39;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,40;20,70;22,09;21,11;20,11;19,12;21,11;21,36;20,84;21,88;2,06;3,690;10,694;11,953;0,25;178,24;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,45;20,73;22,18;21,11;20,36;19,38;21,34;21,41;20,88;21,93;2,03;3,680;10,636;11,875;0,25;148,81;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,42;20,68;22,16;21,11;20,14;19,31;20,98;21,37;20,81;21,94;2,06;3,685;10,665;11,912;0,25;320,88;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,38;20,69;22,06;21,11;20,11;19,16;21,05;21,34;20,83;21,84;2,06;3,685;10,665;11,918;0,25;282,26;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,41;20,71;22,11;21,10;20,23;19,29;21,17;21,37;20,86;21,87;2,10;3,690;10,694;11,968;0,25;396,38;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,42;20,74;22,11;21,09;20,21;19,13;21,29;21,36;20,83;21,89;2,10;3,690;10,694;11,967;0,25;1280,11;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,46;20,77;22,16;21,09;20,10;19,44;20,77;21,38;20,89;21,87;2,06;3,685;10,665;11,919;0,25;196,79;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,41;20,71;22,11;21,10;20,22;19,29;21,14;21,35;20,80;21,91;2,09;3,690;10,694;11,960;0,25;313,88;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,37;20,70;22,04;21,10;20,12;19,12;21,12;21,31;20,84;21,79;2,06;3,680;10,636;11,892;0,25;354,52;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,36;20,66;22,06;21,09;20,19;19,17;21,21;21,32;20,84;21,79;2,06;3,685;10,665;11,921;0,25;333,62;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,34;20,63;22,05;21,07;20,44;19,32;21,57;21,35;20,84;21,86;2,06;3,690;10,694;11,954;0,25;150,76;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,39;20,70;22,08;21,06;20,17;19,16;21,18;21,29;20,79;21,80;2,10;3,690;10,694;11,980;0,25;260,51;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,40;20,71;22,09;21,07;20,21;19,15;21,27;21,34;20,84;21,83;2,06;3,685;10,665;11,926;0,25;2171,12;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,38;20,70;22,06;21,07;20,28;19,29;21,27;21,31;20,81;21,81;2,09;3,690;10,694;11,971;0,25;3830,52;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,38;20,66;22,09;21,07;20,13;19,34;20,91;21,33;20,82;21,83;2,10;3,690;10,694;11,968;0,25;1554,92;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,35;20,64;22,07;21,07;20,29;18,98;21,59;21,31;20,82;21,81;2,10;3,690;10,694;11,977;0,25;591,00;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,39;20,71;22,06;21,06;20,28;19,39;21,17;21,32;20,83;21,81;2,06;3,685;10,665;11,923;0,25;476,11;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,38;20,73;22,04;21,06;20,18;19,79;20,58;21,30;20,84;21,75;2,06;3,685;10,665;11,945;0,25;230,87;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,39;20,69;22,09;21,06;20,08;19,08;21,08;21,31;20,81;21,82;2,09;3,690;10,694;11,964;0,25;522,05;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,37;20,67;22,06;21,07;20,28;19,56;21,00;21,30;20,83;21,76;2,06;3,685;10,665;11,926;0,25;239,51;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,40;20,74;22,07;21,05;20,20;19,26;21,13;21,34;20,86;21,82;2,10;3,690;10,694;11,974;0,25;482,27;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,36;20,66;22,07;21,06;20,22;19,32;21,12;21,29;20,82;21,77;2,06;3,685;10,665;11,929;0,25;465,38;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,40;20,67;22,12;21,05;20,37;19,37;21,37;21,32;20,84;21,81;2,06;3,690;10,694;11,954;0,25;498,48;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,35;20,65;22,05;21,04;20,22;19,21;21,22;21,30;20,87;21,74;2,10;3,690;10,694;11,971;0,25;648,52;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,37;20,68;22,05;21,05;20,19;19,22;21,15;21,30;20,86;21,75;2,06;3,685;10,665;11,923;0,25;240,92;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,40;20,70;22,10;21,04;19,81;19,17;20,44;21,27;20,81;21,73;2,12;3,690;10,694;12,051;0,25;736,24;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,43;20,73;22,14;21,04;20,03;19,34;20,73;21,30;20,81;21,80;2,10;3,690;10,694;11,970;0,25;693,85;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,44;20,75;22,14;21,02;19,92;19,00;20,85;21,29;20,82;21,76;2,12;3,690;10,694;12,056;0,25;1124,66;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,46;20,77;22,14;21,02;19,92;19,01;20,83;21,30;20,81;21,79;2,14;3,690;10,694;12,074;0,25;395,10;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,47;20,78;22,15;21,02;20,06;19,65;20,47;21,30;20,84;21,77;2,11;3,690;10,694;12,025;0,25;143,92;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,43;20,73;22,12;21,03;20,14;19,47;20,81;21,32;20,83;21,81;2,09;3,690;10,694;11,961;0,25;344,94;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,43;20,76;22,10;21,02;19,86;19,14;20,59;21,29;20,85;21,72;2,08;3,685;10,665;12,002;0,25;231,13;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,42;20,72;22,12;21,02;19,91;19,01;20,81;21,27;20,80;21,73;2,09;3,685;10,665;11,983;0,25;360,09;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,45;20,76;22,14;21,00;19,77;18,94;20,61;21,26;20,80;21,71;2,12;3,690;10,694;12,059;0,25;394,05;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,39;20,70;22,09;21,01;19,83;19,08;20,59;21,24;20,78;21,70;2,12;3,690;10,694;12,048;0,25;199,39;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,41;20,71;22,11;20,99;20,06;18,99;21,12;21,24;20,76;21,72;2,07;3,690;10,694;11,994;0,25;155,01;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,45;20,73;22,16;21,01;19,91;19,33;20,50;21,31;20,83;21,80;2,07;3,685;10,665;11,979;0,25;620,93;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,49;20,79;22,20;21,00;19,89;18,86;20,92;21,31;20,81;21,82;2,09;3,685;10,665;12,017;0,25;1245,10;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,42;20,72;22,12;21,00;19,90;19,26;20,54;21,23;20,78;21,68;2,08;3,685;10,665;11,987;0,25;362,27;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,32;20,63;22,00;21,00;19,69;19,01;20,37;21,19;20,74;21,64;2,07;3,690;10,694;12,013;0,25;146,13;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,46;20,76;22,16;21,00;19,79;18,88;20,70;21,26;20,80;21,72;2,08;3,685;10,665;12,001;0,25;339,52;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,48;20,76;22,21;20,99;19,69;18,85;20,53;21,28;20,79;21,77;2,09;3,690;10,694;11,954;0,25;373,51;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,40;20,72;22,09;20,98;19,83;19,19;20,47;21,23;20,79;21,67;2,05;3,690;10,694;11,919;0,25;176,80;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,39;20,70;22,08;20,98;19,70;19,37;20,04;21,23;20,77;21,69;2,08;3,690;10,694;12,012;0,25;171,26;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,41;20,71;22,11;20,98;19,72;19,09;20,34;21,25;20,83;21,67;2,05;3,690;10,694;11,917;0,25;195,28;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,45;20,78;22,11;20,98;20,03;19,12;20,94;21,29;20,87;21,71;2,06;3,685;10,665;11,944;0,25;385,59;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,39;20,70;22,08;20,98;19,87;19,17;20,58;21,27;20,80;21,74;2,05;3,690;10,694;11,922;0,25;187,75;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,48;20,81;22,14;20,97;19,78;19,41;20,16;21,28;20,85;21,71;2,04;3,685;10,665;11,891;0,25;1159,28;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,40;20,68;22,13;20,97;19,84;18,76;20,91;21,24;20,74;21,74;2,04;3,690;10,694;11,923;0,25;155,09;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,40;20,73;22,08;20,97;19,83;19,20;20,47;21,23;20,78;21,68;2,04;3,685;10,665;11,886;0,25;309,23;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,41;20,70;22,12;20,96;19,73;18,95;20,51;21,21;20,76;21,66;2,08;3,690;10,694;11,939;0,25;1407,33;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,41;20,69;22,12;20,97;19,99;18,96;21,01;21,29;20,77;21,80;2,08;3,690;10,694;11,941;0,25;649,70;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,38;20,69;22,06;20,96;19,74;19,09;20,39;21,20;20,73;21,66;2,04;3,685;10,665;11,889;0,25;412,70;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,42;20,72;22,11;20,96;19,83;19,23;20,43;21,23;20,76;21,71;2,04;3,685;10,665;11,889;0,25;467,45;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,39;20,70;22,08;20,96;19,83;19,22;20,43;21,24;20,83;21,65;2,04;3,685;10,665;11,888;0,25;315,08;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,40;20,73;22,06;20,95;19,81;18,72;20,91;21,23;20,79;21,66;2,05;3,685;10,665;11,897;0,25;866,57;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,35;20,67;22,03;20,95;19,90;19,15;20,66;21,21;20,75;21,66;2,05;3,690;10,694;11,928;0,25;274,43;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,26;20,59;21,94;20,95;19,96;19,43;20,49;21,18;20,72;21,64;2,04;3,690;10,694;11,918;0,25;173,29;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,41;20,73;22,09;20,95;19,84;18,94;20,74;21,23;20,79;21,68;2,08;3,690;10,694;11,940;0,25;437,59;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,38;20,70;22,05;20,95;19,95;18,97;20,93;21,25;20,79;21,72;2,04;3,685;10,665;11,889;0,25;1282,06;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,37;20,69;22,06;20,96;19,84;18,58;21,10;21,23;20,78;21,67;2,04;3,685;10,665;11,897;0,25;484,70;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,32;20,63;22,01;20,94;19,90;18,65;21,16;21,19;20,72;21,66;2,04;3,685;10,665;11,898;0,25;236,12;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,27;20,57;21,96;20,94;19,63;19,15;20,11;21,12;20,65;21,59;2,05;3,690;10,694;11,931;0,25;177,36;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,31;20,65;21,97;20,95;19,95;19,10;20,81;21,20;20,71;21,68;2,04;3,690;10,694;11,926;0,25;192,33;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,32;20,64;22,01;20,95;19,95;19,04;20,86;21,19;20,74;21,63;2,04;3,685;10,665;11,890;0,25;421,06;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,37;20,66;22,08;20,94;19,88;19,11;20,65;21,20;20,75;21,65;2,04;3,685;10,665;11,891;0,25;471,26;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,35;20,63;22,08;20,93;19,99;19,07;20,91;21,23;20,74;21,72;2,04;3,685;10,665;11,887;0,25;791,19;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,37;20,69;22,04;20,94;19,81;19,15;20,47;21,21;20,78;21,64;2,07;3,690;10,694;11,933;0,25;353,17;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,31;20,64;21,98;20,94;19,87;18,97;20,77;21,19;20,74;21,64;2,04;3,685;10,665;11,888;0,25;280,38;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,28;20,58;21,98;20,93;19,86;19,11;20,61;21,17;20,67;21,68;2,08;3,690;10,694;11,944;0,25;637,12;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,28;20,61;21,96;20,94;19,98;19,14;20,82;21,17;20,74;21,61;2,04;3,685;10,665;11,890;0,25;326,13;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,29;20,61;21,97;20,92;20,22;19,79;20,66;21,23;20,74;21,72;2,04;3,690;10,694;11,923;0,25;383,23;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,29;20,63;21,94;20,93;20,22;19,16;21,28;21,20;20,72;21,69;2,09;3,690;10,694;11,952;0,25;454,95;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,33;20,61;22,05;20,92;19,81;19,24;20,38;21,14;20,65;21,64;2,08;3,690;10,694;11,941;0,25;576,91;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,31;20,58;22,04;20,93;19,98;19,10;20,85;21,19;20,75;21,63;2,08;3,690;10,694;11,946;0,25;279,44;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,26;20,55;21,97;20,92;20,00;19,16;20,84;21,16;20,71;21,62;2,04;3,690;10,694;11,920;0,25;258,20;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,27;20,61;21,94;20,92;20,07;19,09;21,05;21,17;20,71;21,63;2,08;3,690;10,694;11,938;0,25;905,79;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,26;20,59;21,92;20,92;20,14;19,26;21,02;21,20;20,71;21,69;2,04;3,685;10,665;11,899;0,25;222,08;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,27;20,57;21,98;20,92;19,96;18,90;21,02;21,15;20,67;21,63;2,04;3,685;10,665;11,895;0,25;350,05;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,26;20,59;21,93;20,92;19,86;19,46;20,26;21,18;20,73;21,63;2,08;3,690;10,694;11,939;0,25;384,43;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,32;20,65;21,99;20,92;19,95;19,04;20,86;21,17;20,75;21,60;2,04;3,685;10,665;11,900;0,25;257,68;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,33;20,63;22,03;20,92;20,03;19,10;20,96;21,21;20,75;21,66;2,04;3,685;10,665;11,889;0,25;220,84;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,27;20,59;21,94;20,91;20,04;19,19;20,89;21,16;20,70;21,61;2,04;3,690;10,694;11,919;0,25;370,53;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,28;20,56;22,00;20,91;20,03;18,96;21,11;21,18;20,64;21,73;2,05;3,690;10,694;11,932;0,25;255,34;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,27;20,58;21,96;20,91;20,05;19,16;20,94;21,17;20,72;21,62;2,04;3,690;10,694;11,910;0,25;129,56;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,23;20,59;21,87;20,90;20,09;19,28;20,90;21,18;20,73;21,63;2,07;3,690;10,694;11,930;0,25;329,11;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,25;20,55;21,95;20,90;20,02;19,50;20,55;21,18;20,71;21,64;2,04;3,690;10,694;11,924;0,25;387,17;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
21,26;20,58;21,94;20,91;20,06;19,38;20,74;21,18;20,73;21,62;2,04;3,685;10,665;11,896;0,25;325,05;Water;Air;Polycarbonate;0,9982;0,0013;0,9969;n/a;n/a;0,00;23,6;23,9;n/a;n/a;n/a;1,00;200,000
